company_name,tradingsymbol,fiscal_year,current_assets,current_liabilities,inventory,total_liabilities,total_assets,total_debt,total_equity,net_profit,revenue,ebit,interest_expense,operating_cash_flow,free_cash_flow,eps
3PLAND,3PLAND,2022,2358.99,2356.76,230.67,11848.6,6473.22,10552.38,202.87,-178.66,7738.55,-293.59,808.44,-254.79,-415.23,-0.7583
3PLAND,3PLAND,2023,2763.4,2111.21,468.36,12654.05,6517.94,11492.88,198.1,-251.19,7163.8,-473.24,1354.42,-305.28,-436.29,-2.5264
5PAISA,5PAISA,2018,5734.97,5227.75,914.34,11928.97,17097.94,9053.7,6861.34,286.92,3162.71,506.65,818.68,341.94,172.37,1.1514
5PAISA,5PAISA,2019,6935.82,4926.81,869.97,12718.23,17148.61,10008.49,6721.51,240.75,3091.16,343.32,799.29,224.77,12.81,0.8535
5PAISA,5PAISA,2020,4421.58,3650.88,520.24,13676.91,18263.13,11668.93,6620.69,212.76,2961.85,309.48,1204.11,136.88,-46.37,1.5002
5PAISA,5PAISA,2021,5269.4,5829.83,619.97,16345.75,17541.19,13139.35,6455.26,-132.65,2771.11,-250.64,637.03,-149.24,-165.7,-0.9587
5PAISA,5PAISA,2022,8315.94,6337.61,1794.44,18104.6,18548.82,14618.91,5920.95,-286.75,2533.39,-524.48,1495.6,-349.88,-417.59,-1.0105
5PAISA,5PAISA,2023,4761.73,7534.7,604.01,19915.12,18845.65,15771.03,5695.05,-555.3,2507.96,-983.75,1384.13,-511.91,-615.91,-4.8971
63MOONS,63MOONS,2018,3440.86,3122.02,226.79,11937.4,9454.8,10220.29,243.66,1235.54,13629.0,1793.61,559.34,1274.89,1153.55,28.9741
63MOONS,63MOONS,2019,3633.78,1813.05,341.09,12488.73,10018.44,11491.55,225.82,1102.15,13470.51,1820.83,1016.23,814.34,656.02,5.41
63MOONS,63MOONS,2020,2762.21,2454.01,273.55,14287.07,10550.76,12937.37,236.82,902.31,12635.07,1458.76,1034.46,1025.66,872.42,2.8914
63MOONS,63MOONS,2021,2668.19,4161.37,272.47,17535.57,10705.86,15246.81,219.34,333.26,12139.43,628.75,1004.82,106.6,33.57,3.7956
63MOONS,63MOONS,2022,4435.87,3330.72,609.23,18528.89,11231.85,16697.0,213.09,198.59,12050.2,308.83,910.01,-12.2,-159.36,1.8867
63MOONS,63MOONS,2023,4543.35,3964.32,496.78,20060.98,11683.61,17880.61,190.39,-34.31,10705.02,-65.58,1809.33,-182.25,-281.27,-0.1206
A1L,A1L,2018,6409.86,4992.39,478.92,6906.32,15367.13,4160.5,10351.84,1838.35,1406.69,3112.9,344.09,1642.13,1557.92,6.5164
A1L,A1L,2019,4341.8,4607.36,899.92,7089.69,15364.15,4555.64,10825.94,1696.55,1307.93,2886.93,389.96,1343.17,1211.19,26.7284
A1L,A1L,2020,6693.59,5347.86,1358.67,8263.67,15732.25,5322.35,9800.85,1336.88,1233.77,2805.05,380.76,1142.07,1121.39,6.943
A1L,A1L,2021,5869.56,5143.04,392.55,8944.78,16526.39,6116.11,9369.57,796.15,1196.61,1345.49,490.77,323.8,166.39,3.2649
A1L,A1L,2022,5700.92,6715.09,1086.0,10400.9,16914.96,6707.6,8940.31,-175.13,1130.3,-357.45,625.86,-285.2,-413.85,-0.9462
A1L,A1L,2023,5147.86,4408.78,667.23,9760.55,18093.42,7335.73,8394.78,436.27,1088.18,833.53,464.07,371.24,218.8,2.0315
A2ZINFRA,A2ZINFRA,2018,2586.89,1685.49,372.96,11505.35,6647.7,10578.33,250.44,318.61,16360.07,452.99,671.81,337.46,199.03,2.7903
A2ZINFRA,A2ZINFRA,2019,3168.19,1880.68,301.62,13514.95,7212.68,12480.58,243.11,255.48,16160.64,359.42,1072.43,153.63,11.6,1.0246
A2ZINFRA,A2ZINFRA,2020,2075.76,2442.8,301.61,15652.97,7256.23,14309.43,238.59,214.98,15424.58,308.25,964.63,149.4,-64.87,1.437
A2ZINFRA,A2ZINFRA,2021,3208.04,3142.63,579.78,17388.66,7683.91,15660.21,217.93,-278.45,14638.7,-464.15,974.49,-421.0,-465.93,-2.979
A2ZINFRA,A2ZINFRA,2022,2597.24,3101.3,401.82,18871.59,7844.97,17165.87,213.1,-743.98,13676.18,-1225.56,1492.64,-632.57,-799.11,-4.5209
A2ZINFRA,A2ZINFRA,2023,2196.53,2179.83,386.76,20392.89,7989.31,19193.99,203.25,-298.95,13892.44,-515.0,1846.75,-495.65,-645.98,-1.3383
AAATECH,AAATECH,2018,7222.11,5432.17,1597.26,13415.89,17997.83,10428.2,7008.11,781.49,21034.65,1438.33,983.6,835.51,761.51,15.7629
AAATECH,AAATECH,2019,7816.45,3768.57,1776.31,14060.07,19244.11,11987.36,6569.87,698.83,20574.68,1404.0,862.71,561.08,480.38,7.9105
AAATECH,AAATECH,2020,6898.34,5733.33,1395.16,16904.8,19477.49,13751.47,6327.11,613.34,20379.42,1081.19,1536.67,401.88,286.07,19.6453
AAATECH,AAATECH,2021,8429.61,5952.96,1471.52,19084.17,19467.01,15810.04,6269.49,-123.08,18760.56,-214.65,834.62,-194.82,-309.69,-0.3686
AAATECH,AAATECH,2022,7311.3,4715.06,1103.28,19898.93,20496.04,17305.65,5523.84,217.82,18306.63,441.28,861.25,84.66,-94.21,0.8946
AAATECH,AAATECH,2023,5211.34,5626.25,554.05,21909.38,21748.41,18814.94,5661.84,-100.63,15772.31,-173.32,927.9,-268.34,-430.04,-0.477
AADHARHFC,AADHARHFC,2018,3594.8,3026.83,428.02,6799.51,11221.46,5134.76,4658.07,239.18,22186.12,454.14,587.09,171.62,-64.36,0.7237
AADHARHFC,AADHARHFC,2019,3195.41,3248.72,702.23,7528.09,10903.81,5741.3,4636.9,190.24,22103.88,318.48,384.36,191.37,8.76,1.6162
AADHARHFC,AADHARHFC,2020,4910.8,3785.04,336.52,8667.2,12035.25,6585.43,4218.64,166.77,20297.91,255.44,571.52,197.47,117.79,2.6076
AADHARHFC,AADHARHFC,2021,3788.53,3707.22,816.47,9175.63,11708.81,7136.66,4134.32,-649.08,19193.18,-1250.5,373.55,-1086.28,-1277.37,-2.5213
AADHARHFC,AADHARHFC,2022,3994.54,4157.52,351.07,10644.24,12203.16,8357.6,3834.78,-179.79,18458.53,-281.17,589.79,-251.23,-494.03,-0.937
AADHARHFC,AADHARHFC,2023,3322.45,2481.92,605.32,10120.05,12484.68,8754.99,3915.55,-637.72,18114.08,-1075.38,891.01,-934.83,-1140.98,-2.8627
AADIIND,AADIIND,2018,2590.14,2658.85,478.08,12179.98,10158.82,10717.62,242.44,122.43,13412.19,231.5,708.85,121.03,64.29,0.4248
AADIIND,AADIIND,2019,2822.8,1619.95,412.76,13923.7,10062.65,13032.73,236.26,103.52,12168.81,214.21,1072.2,128.8,53.72,0.4623
AADIIND,AADIIND,2020,3388.4,1879.12,618.37,15265.65,10561.1,14232.13,223.94,87.97,11710.61,162.86,1165.96,116.41,-29.54,0.4162
AADIIND,AADIIND,2021,3292.66,4301.01,560.35,18731.58,11062.01,16366.03,223.55,-508.26,11372.37,-743.02,849.95,-450.83,-492.44,-3.3189
AADIIND,AADIIND,2022,4977.97,4342.59,330.22,20478.06,11796.58,18089.64,205.96,-725.11,10770.52,-1270.21,925.78,-647.54,-689.96,-8.2853
AADIIND,AADIIND,2023,4297.96,3521.14,629.14,22438.88,11436.26,20502.25,178.34,-470.42,10401.15,-767.07,1702.11,-606.31,-801.65,-2.7668
AAIL,AAIL,2018,6937.09,5714.21,681.26,7630.49,17576.64,4487.68,12145.16,228.1,7074.01,466.4,530.93,127.09,33.91,2.5555
AAIL,AAIL,2019,4654.98,3895.62,322.71,7325.56,18693.74,5182.97,11539.1,192.45,6625.7,363.76,422.85,256.22,169.25,3.8388
AAIL,AAIL,2020,5141.3,4388.07,517.3,8253.18,18553.06,5839.74,11086.37,156.02,6238.38,251.58,522.17,200.83,71.39,0.7042
AAIL,AAIL,2021,4887.51,5930.02,776.63,9945.84,18851.69,6684.33,11071.34,-682.34,6320.45,-1235.3,450.49,-684.81,-905.32,-5.7663
AAIL,AAIL,2022,5662.29,7200.57,530.12,11482.72,19360.36,7522.41,9966.69,-273.28,6051.51,-539.69,780.18,-392.19,-421.72,-1.3193
AAIL,AAIL,2023,9062.28,7135.51,861.89,12120.91,20253.85,8196.38,9124.15,-102.92,5536.11,-163.77,467.55,-354.46,-486.56,-0.3165
AAKASH,AAKASH,2018,2084.85,2452.41,338.91,8910.46,9371.11,7561.64,1865.45,561.6,12418.32,988.95,719.02,363.26,243.51,3.2837
AAKASH,AAKASH,2019,3629.39,2290.83,581.51,9465.73,10177.29,8205.77,1758.63,475.41,11868.54,883.29,563.34,509.23,399.02,1.5172
AAKASH,AAKASH,2020,2808.61,2436.21,582.37,10758.23,10067.44,9418.32,1777.21,385.62,11543.47,604.43,998.22,358.37,136.61,1.7041
AAKASH,AAKASH,2021,4616.61,3939.76,458.61,12907.76,10490.11,10740.89,1640.84,209.84,10884.81,403.53,1283.37,-34.29,-80.03,1.7096
AAKASH,AAKASH,2022,3243.45,3745.67,476.76,13828.69,10665.46,11768.57,1544.31,-632.48,10607.99,-1127.12,1346.33,-658.12,-734.73,-3.5049
AAKASH,AAKASH,2023,3381.66,4284.38,249.3,15488.84,10554.57,13132.44,1526.33,-12.93,10166.65,-19.78,1006.91,-41.9,-110.38,-0.0385
AAPLUSTRAD,AAPLUSTRAD,2018,2681.13,1601.85,468.52,3478.62,6747.01,1559.74,3268.38,1951.74,3253.55,3123.83,77.2,2377.35,2292.87,6.2984
AAPLUSTRAD,AAPLUSTRAD,2019,2183.48,1404.05,220.4,3462.89,6757.93,1865.03,3295.04,1787.68,3132.88,2801.14,85.23,1896.41,1844.55,16.9157
AAPLUSTRAD,AAPLUSTRAD,2020,2009.29,2361.86,253.7,3950.63,6974.65,2078.19,3024.03,1440.42,3119.96,2643.5,184.23,1528.16,1473.92,16.8484
AAPLUSTRAD,AAPLUSTRAD,2021,1845.29,2664.0,406.78,4317.4,7199.28,2276.81,2881.88,951.27,2842.17,1948.61,167.87,1166.06,1090.69,3.8387
AAPLUSTRAD,AAPLUSTRAD,2022,1765.55,2475.48,157.23,4702.84,7328.75,2653.21,2625.92,287.89,2792.72,599.66,131.18,176.96,51.81,3.7346
AAPLUSTRAD,AAPLUSTRAD,2023,2891.33,2113.94,365.24,5246.52,7875.91,2822.84,2629.4,-72.84,2398.11,-102.58,215.17,-360.01,-593.34,-0.725
AARCON,AARCON,2018,4340.72,2561.07,344.03,7232.03,11194.62,5823.44,5479.87,1766.49,15246.57,3229.78,577.72,1906.66,1762.66,8.2103
AARCON,AARCON,2019,4071.83,2958.37,498.84,8210.42,11793.49,6583.32,5296.73,1649.19,14226.17,2891.42,585.44,1839.41,1805.26,9.3336
AARCON,AARCON,2020,4254.45,2661.85,964.31,8799.48,12749.82,7335.46,5020.28,1414.25,13954.65,2853.37,714.54,1205.22,1106.97,9.7843
AARCON,AARCON,2021,3317.37,2995.17,478.39,9874.56,12848.74,8227.22,4795.27,889.5,13372.55,1275.76,923.68,639.79,436.64,3.7993
AARCON,AARCON,2022,5575.91,4669.29,805.21,11392.72,13392.7,8824.61,4469.89,614.1,12891.12,865.78,477.78,356.31,335.98,3.1947
AARCON,AARCON,2023,3717.93,4811.97,645.24,12637.86,13857.58,9991.28,4170.17,518.77,11818.88,856.68,904.86,474.61,226.75,2.1402
AAREYDRUGS,AAREYDRUGS,2018,573.02,536.51,41.96,4716.8,2000.08,4421.72,238.66,1194.87,12851.34,2507.25,477.35,1573.73,1489.33,10.1697
AAREYDRUGS,AAREYDRUGS,2019,915.61,667.73,136.12,5213.06,2069.9,4845.82,246.93,971.75,11284.18,1706.91,500.36,1080.12,1006.71,4.7295
AAREYDRUGS,AAREYDRUGS,2020,757.23,467.83,95.61,5650.25,2110.63,5392.94,235.29,902.51,10943.86,1853.35,529.64,1084.12,940.19,3.6499
AAREYDRUGS,AAREYDRUGS,2021,700.45,423.25,145.84,6229.13,2229.38,5996.35,221.6,-51.86,10639.24,-86.67,422.39,-322.18,-447.84,-0.375
AAREYDRUGS,AAREYDRUGS,2022,564.36,1014.42,94.7,7385.12,2294.07,6827.19,208.33,327.23,10413.96,679.63,356.0,289.93,264.46,4.8421
AAREYDRUGS,AAREYDRUGS,2023,729.75,693.35,131.27,7845.32,2491.85,7463.98,210.04,183.53,9474.93,292.35,748.09,-0.53,-22.59,1.3101
AARNAV,AARNAV,2018,6204.92,4724.89,642.99,8708.06,14060.2,6109.37,7463.44,284.61,21642.83,556.5,634.46,214.11,-2.69,2.6032
AARNAV,AARNAV,2019,3818.97,4483.92,490.32,9369.9,13718.98,6903.74,7625.76,257.91,20658.19,500.45,748.4,225.39,-0.3,1.6195
AARNAV,AARNAV,2020,4368.34,2856.72,306.11,9243.2,15790.6,7672.01,7256.21,217.23,19557.39,356.43,698.93,282.17,224.67,2.7177
AARNAV,AARNAV,2021,3851.6,3492.81,368.15,10756.45,15060.52,8835.4,6329.96,-434.11,18818.26,-735.85,822.37,-480.9,-564.78,-2.3765
AARNAV,AARNAV,2022,6692.65,4494.6,902.64,12127.46,15589.22,9655.43,6938.17,-274.05,16274.75,-510.47,950.94,-368.63,-524.97,-4.2747
AARNAV,AARNAV,2023,7152.43,3892.94,1002.05,12843.67,16121.68,10702.55,6209.87,-379.61,16472.17,-533.63,717.0,-480.97,-677.34,-5.0447
AARON,AARON,2018,4084.53,3677.0,511.17,5181.13,17090.92,3158.78,12995.02,598.62,2206.65,1064.05,167.9,741.5,566.7,2.2824
AARON,AARON,2019,5672.47,5957.17,566.05,7074.02,18306.46,3797.57,11233.74,555.27,1975.29,1150.05,174.74,519.28,397.02,2.2591
AARON,AARON,2020,7310.06,5719.01,1010.66,7393.7,18633.51,4248.24,11424.91,487.51,1960.96,1020.49,454.11,384.02,168.18,2.4102
AARON,AARON,2021,5445.02,8103.12,347.65,9202.05,19178.99,4745.34,10454.13,-266.43,1902.96,-530.2,394.77,-451.49,-602.42,-0.8746
AARON,AARON,2022,5326.41,6513.35,1166.59,8842.11,19133.61,5259.76,10823.23,-85.67,1756.01,-142.98,350.25,-147.87,-229.76,-0.3509
AARON,AARON,2023,4840.45,6362.22,341.33,11262.46,20606.86,5819.72,9344.4,-680.21,1677.41,-1014.53,587.5,-965.27,-1012.68,-2.5209
AARTECH,AARTECH,2018,2783.62,2179.0,559.24,4364.73,7374.95,2116.91,3010.22,1469.02,11300.72,2323.93,108.34,1533.84,1448.9,17.1482
AARTECH,AARTECH,2019,2236.43,2345.55,495.8,4614.98,7676.34,2484.87,3061.36,1308.39,10745.55,2068.8,132.67,798.79,599.7,7.3758
AARTECH,AARTECH,2020,1694.99,2179.5,234.14,4840.65,7657.73,2826.66,2817.08,1100.22,9800.7,1739.46,274.91,1001.66,812.71,7.5437
AARTECH,AARTECH,2021,3372.52,2640.94,521.5,5016.91,7736.62,3142.6,2719.71,258.24,9494.59,500.71,249.45,149.82,103.11,1.2714
AARTECH,AARTECH,2022,3016.98,2427.17,424.72,5226.25,7898.14,3492.38,2671.89,-89.0,9243.81,-182.22,276.53,-195.57,-254.86,-0.3756
AARTECH,AARTECH,2023,2774.03,1843.11,234.92,5999.83,8419.99,3852.45,2420.16,66.69,8234.22,93.57,263.9,10.42,-124.01,0.4642
AARTIDRUGS,AARTIDRUGS,2018,7771.29,4957.64,829.53,11646.13,20524.59,8919.43,9907.31,565.99,20814.68,1039.12,764.07,552.13,441.45,13.2581
AARTIDRUGS,AARTIDRUGS,2019,7594.26,5473.75,726.4,12875.86,20574.23,9865.3,9415.71,471.77,19899.44,918.79,955.34,632.01,410.13,12.5235
AARTIDRUGS,AARTIDRUGS,2020,7137.07,4292.61,981.36,13844.09,20592.67,11483.16,9237.67,393.35,19301.58,581.75,964.18,252.38,49.99,1.1808
AARTIDRUGS,AARTIDRUGS,2021,8129.87,4527.15,1407.47,15381.15,21429.26,12891.22,8471.45,76.86,17802.09,148.29,935.27,-77.8,-324.14,0.3456
AARTIDRUGS,AARTIDRUGS,2022,10049.72,5815.69,1442.61,17893.56,23108.43,14694.93,8427.93,-25.18,16770.23,-43.89,1489.07,-160.28,-251.01,-0.1529
AARTIDRUGS,AARTIDRUGS,2023,8235.85,5230.03,1811.35,18435.09,23018.24,15558.57,7650.47,-34.79,15645.74,-62.46,1107.29,-260.3,-473.17,-0.1712
AARTIIND,AARTIIND,2018,4022.99,3564.72,258.47,10316.61,15752.46,8356.02,7793.41,379.44,12408.77,632.22,496.52,419.47,261.1,1.5619
AARTIIND,AARTIIND,2019,6751.88,4709.2,838.39,11988.39,17118.72,9398.33,7010.47,330.41,11721.69,647.84,920.15,322.92,188.56,3.7547
AARTIIND,AARTIIND,2020,6971.61,4646.72,1140.53,13054.35,17584.97,10498.65,6925.81,271.71,11716.55,407.72,1256.98,217.3,63.54,0.8728
AARTIIND,AARTIIND,2021,4986.81,4161.72,848.88,13986.13,17172.64,11697.18,6982.05,-422.89,10943.7,-805.27,773.29,-518.81,-649.26,-3.1086
AARTIIND,AARTIIND,2022,6756.07,5016.06,600.82,15936.66,18510.63,13177.83,6223.79,0.2,9823.97,0.31,1581.19,-99.81,-265.93,0.001
AARTIIND,AARTIIND,2023,6730.98,6910.75,1122.4,18146.94,19032.72,14346.03,6246.67,-696.86,9461.88,-1077.36,1577.42,-560.31,-636.95,-2.6376
AARTIPHARM,AARTIPHARM,2018,1002.41,678.75,201.49,9895.88,2836.18,9522.57,269.12,1166.38,8769.88,1795.24,921.87,900.43,865.08,3.5774
AARTIPHARM,AARTIPHARM,2019,1104.03,624.46,83.37,11661.2,2970.0,11317.75,231.09,937.22,8494.97,1635.22,1167.72,1011.8,976.81,4.9409
AARTIPHARM,AARTIPHARM,2020,1332.28,521.07,223.0,13061.05,3056.24,12774.46,225.6,813.55,8038.94,1692.84,879.99,972.14,924.67,3.4037
AARTIPHARM,AARTIPHARM,2021,1098.45,938.25,234.98,14488.56,3250.79,13972.52,224.93,513.36,7489.95,857.73,1014.98,353.3,211.01,7.8717
AARTIPHARM,AARTIPHARM,2022,764.31,800.35,90.54,16112.39,3321.2,15672.2,227.86,308.81,7263.62,577.91,962.53,200.23,2.06,1.1358
AARTIPHARM,AARTIPHARM,2023,1062.5,1240.18,149.13,17425.17,3365.51,16743.07,192.57,133.1,6838.54,271.16,1501.23,70.13,45.21,0.5744
AARTISURF,AARTISURF,2018,3511.3,3727.55,639.18,12843.72,12031.56,10793.57,240.73,1782.16,18525.82,3328.38,1014.31,1236.33,1073.34,6.8414
AARTISURF,AARTISURF,2019,4378.38,3959.47,515.53,15383.27,12736.28,13205.56,254.64,1510.13,18404.3,2233.8,1227.09,839.1,758.58,4.9315
AARTISURF,AARTISURF,2020,5641.77,2615.98,770.31,15172.01,13146.21,13733.22,218.52,1259.48,18314.46,1797.64,1173.1,1026.3,814.34,4.982
AARTISURF,AARTISURF,2021,4384.83,3891.54,429.14,17488.25,12931.44,15347.91,228.24,715.25,16286.64,1116.4,1404.51,433.36,282.68,2.0843
AARTISURF,AARTISURF,2022,5692.64,5099.19,1226.11,20434.42,13914.0,17629.86,209.1,-203.06,15460.72,-321.95,1129.66,-352.37,-488.19,-3.9405
AARTISURF,AARTISURF,2023,3427.64,5026.62,757.63,22063.12,14292.8,19298.48,187.27,326.46,15439.31,579.19,890.18,177.84,112.47,4.4917
AARVI,AARVI,2018,4076.51,3849.8,444.05,8181.17,12644.91,6063.78,4842.28,1367.41,7191.85,2176.91,554.74,1261.95,1075.06,25.675
AARVI,AARVI,2019,4382.49,2171.51,701.18,8737.31,12761.53,7542.98,4411.79,1166.21,7068.96,1976.5,890.0,1149.17,1002.11,6.4684
AARVI,AARVI,2020,4105.25,4223.6,382.1,10452.47,13906.54,8129.49,4197.04,974.83,6789.3,1468.11,758.95,1304.56,1114.7,8.745
AARVI,AARVI,2021,4647.97,6133.24,496.32,12351.33,15093.63,8978.05,4206.25,-13.32,6445.49,-20.59,695.06,-150.86,-216.14,-0.0449
AARVI,AARVI,2022,4685.6,3369.39,404.27,12195.16,15242.43,10342.0,4071.14,358.95,6121.28,658.26,1127.06,328.26,291.95,1.2976
AARVI,AARVI,2023,6500.95,5693.62,1329.81,14394.26,15472.81,11262.77,3621.89,315.9,5723.43,661.37,745.73,36.94,-164.84,3.1598
AASHKA,AASHKA,2018,7118.83,4598.5,687.1,6830.91,17397.61,4301.73,12805.13,799.51,7057.94,1274.98,412.69,440.86,291.84,4.9014
AASHKA,AASHKA,2019,4800.34,5640.01,399.48,8070.57,19376.39,4968.56,11846.67,718.38,6553.18,1006.7,403.77,861.55,711.66,2.2672
AASHKA,AASHKA,2020,7264.29,4852.35,1556.44,8252.39,19406.33,5583.6,12396.73,575.59,6438.87,906.44,425.69,622.89,533.8,2.127
AASHKA,AASHKA,2021,6564.08,7985.56,995.07,10981.88,20622.64,6589.82,11343.59,-112.58,6204.68,-223.55,773.08,-314.22,-562.13,-3.7207
AASHKA,AASHKA,2022,5506.24,4464.51,1006.23,11182.41,21352.34,6991.66,10169.92,7.16,5709.73,12.43,784.29,-234.24,-476.45,0.0675
AASHKA,AASHKA,2023,8551.19,4675.43,1402.24,11367.67,21285.45,7788.16,9917.79,-528.17,5314.44,-906.19,737.01,-513.84,-581.47,-2.2787
AASTAFIN,AASTAFIN,2018,3929.94,3474.16,688.59,3914.76,11357.58,2003.97,7729.58,1826.14,18450.47,3170.53,131.97,2145.87,2016.88,6.6829
AASTAFIN,AASTAFIN,2019,4495.38,3848.43,716.93,4574.74,11410.59,2458.1,7012.69,1549.24,16919.6,2924.36,221.6,2056.12,1839.28,5.6536
AASTAFIN,AASTAFIN,2020,3781.47,2534.86,845.36,4875.62,11819.87,2604.32,6944.25,1342.66,16011.45,2068.97,264.06,1460.79,1404.39,13.4634
AASTAFIN,AASTAFIN,2021,3894.01,3451.1,404.5,5364.35,12043.75,3008.52,6679.4,274.54,15475.27,467.18,233.67,42.21,12.13,8.0688
